,Count,word
357,62,trump makeamericagreatagain
358,62,on foxnews
359,62,imwithyou
360,62,new york
362,62,truth
363,62,york
364,62,record
366,61,see you
367,61,john
368,61,wall
370,61,to get
373,61,tough
375,60,book
376,60,change
377,59,safe
378,59,a total
379,59,trumps
380,59,of my
381,59,weak
384,59,the republican
385,59,will make america
386,58,marco rubio
387,58,honor
388,58,massive
389,58,realdonaldtrump i
390,58,voters
391,58,kasich
392,58,had a
393,58,jeb bush
394,58,talking
396,58,join me in
398,58,family
399,58,this morning
401,58,abc
402,57,morningjoe
404,57,bigleaguetruth
405,57,hard
406,57,rt danscavino
408,57,in iowa
409,57,erictrump
410,56,on cnn
412,56,border
413,56,remember
415,56,in a
416,56,tickets
417,56,for president
418,56,ads
419,55,strong
421,55,smart
422,55,great job
424,55,party
426,54,voting
427,54,senator
428,54,is not
429,54,have a
430,54,usa
431,54,politicians
432,54,movement
433,53,for trump
435,53,virginia
436,53,pennsylvania
438,52,millions
439,52,nevada
443,52,thank you to
444,52,it was
445,52,the best
447,51,she is
450,50,gopdebate
452,50,evening
453,50,to do
454,50,disaster
456,50,americans
457,49,are going
458,49,happy
459,49,all of the
460,49,on foxandfriends
461,49,i love
462,49,to vote
463,49,sanders
465,49,so many
466,49,was a
467,49,people of
468,49,i was
469,49,terrible
470,49,endorsement
471,49,wants to
472,49,yesterday
475,48,be in
476,48,dc
477,48,agree
478,48,a very
479,48,read
480,48,history
482,48,is so
483,47,be the
484,47,obamacare
485,47,emails
486,47,has been
487,47,we will make
489,47,trumptrain
490,47,and i
491,46,event
492,46,lies
493,46,to make america
494,46,running
495,46,you for your
496,46,wisconsin
498,45,from the
499,45,about me
501,45,candidates
503,45,watched
505,45,drudgereport
506,45,this country
507,45,vets
508,45,rt teamtrump
509,45,leader
510,45,hear
511,45,north
512,44,bring
513,44,the us
515,44,potus
516,44,establishment
517,44,realdonaldtrump trump
519,44,coming
520,44,arizona
522,44,the gop
523,44,the most
524,44,like a
526,43,time to
527,43,washington
528,43,would be
529,43,wrong
530,43,hit
531,43,politics
534,43,to win
535,43,winning
536,43,is going
537,43,the failing
538,42,be a
539,42,leaving
540,42,the truth
541,42,one of the
543,42,to my
544,42,race
545,42,attack
547,42,tonight at pm
548,42,iran
549,42,interviewed by
551,42,be back
552,42,are going to
553,41,lightweight
554,41,north carolina
557,41,colorado
558,41,law
559,41,illegal immigration
560,41,the polls
561,41,greta
562,41,biased
563,41,realdonaldtrump you
564,41,the american
567,41,primary
568,40,worst
570,40,i want
572,40,leading
573,40,badly
574,40,clintons
575,40,wsj
576,40,your support
577,40,fight
578,40,what a
579,40,as a
580,40,proud of
581,39,false
