,Count,word
2035,13,we all
2036,13,editorial
2037,13,get tough
2038,13,krauthammer
2039,13,great new poll
2040,13,oreillyfactor tonight at
2041,13,if they
2042,13,of time
2043,13,smart and
2044,13,our veterans
2045,13,the establishment
2046,13,be great
2047,13,win and
2048,13,the crowd
2049,13,birthday
2050,13,that ted cruz
2051,13,tom
2053,13,bill clinton
2054,13,is he
2055,13,refuses
2056,13,it like it
2057,13,i never
2059,13,honored to
2060,13,trump thanks
2062,13,sense
2063,13,great again i
2064,13,book crippled america
2065,13,up for
2066,13,you the
2067,13,in colorado
2068,13,immigrants
2069,13,on my way
2070,13,has lost
2071,13,caucusfortrump
2072,13,victims
2073,13,was very
2074,13,instead of
2075,13,successful
2076,13,town hall
2077,13,is at
2078,13,supporting
2079,13,great people of
2080,13,book crippled
2081,13,diamondandsilk
2082,12,be able to
2083,12,to our
2084,12,leave
2085,12,politically correct
2086,12,fan
2087,12,nyprimary
2088,12,my new
2089,12,just arrived in
2090,12,womens
2091,12,the presidency
2092,12,ashamed
2093,12,in history
2094,12,run against
2095,12,talking about the
2096,12,raise
2097,12,the democrats
2098,12,totally biased
2099,12,on trump
2100,12,continue
2101,12,first time
2102,12,enjoy thank
2103,12,dope
2104,12,card
2105,12,realdonaldtrump for
2107,12,and no
2108,12,rapids
2109,12,be watching
2110,12,be able
2111,12,attacked
2112,12,the one
2114,12,knight
2115,12,cant wait for
2116,12,waste of
2117,12,to protect
2118,12,foxnews is
2119,12,bigger
2120,12,kentucky
2121,12,system is
2122,12,david
2123,12,overrated
2124,12,you we
2125,12,like it is
2126,12,watch the
2127,12,rights
2128,12,realdonaldtrump makeamericagreatagain
2129,12,and her
2130,12,repeal and replace
2131,12,great guy
2132,12,nice thank you
2133,12,is not a
2134,12,excellent
2136,12,wait for
2137,12,to be a
2138,12,care of
2139,12,spoke
2140,12,jeb is
2141,12,is an
2142,12,you to all
2143,12,his campaign
2144,12,enforcement officers
2146,12,gop debate
2147,12,agree with
2148,12,nothing about
2149,12,on wednesday
2150,12,of iowa
2151,12,massive crowd
2152,12,speeches
2153,12,supported
2155,12,complete
2156,12,he would
2157,12,silent majority
2159,12,in the us
2160,12,beach
2161,12,safe and great
2162,12,repeal and
2163,12,a wall
2164,12,illinois
2165,12,todays
2166,12,but he
2167,12,we will makeamericagreatagain
2168,12,of these
2169,12,arena
2170,12,justice
2171,12,kansas
2172,12,are now
2173,12,league
2174,12,the economy
2175,12,handle
2176,12,we love you
2177,12,of the united
2178,12,say that
2179,12,let the
2181,12,reading
2182,12,countries
2183,12,they would
2184,12,excited
2185,12,scott
2186,12,on oreillyfactor tonight
2187,12,honest
2188,12,all the way
2189,12,this is the
2190,12,got back from
2191,12,realdonaldtrump foxandfriends
2192,12,nuclear
2193,12,and have
2194,12,apprentice
2195,12,in pennsylvania
2196,12,breaking
2197,12,get the
2198,12,ads on
2199,12,arrived in
2200,12,fact that
2201,12,it to
2203,12,nyc
2204,12,what he
2205,12,off to
2206,12,refuses to
2207,12,in virginia
2208,12,donaldtrump is
2209,12,advertising
2210,12,you on
2211,12,dont let
2212,12,the nice words
2213,12,the clinton
2214,12,america safe and
2215,12,enjoy thank you
2217,12,the dishonest
2218,12,a terrible
2219,12,nothing to
2220,12,lightweight senator
2221,12,brought
2222,12,and great again
2224,12,nice thank
2225,12,foxnews megynkelly
2226,12,and has
2227,12,afraid
2228,12,check out
2229,12,liberal
2230,12,glennbeck
2231,12,notice
2232,12,amendment
2233,12,nytimes is
2234,12,trust
2235,12,beating
2237,12,hope you
2238,12,being in
2240,12,a chance
2241,12,company
2242,12,i can
2243,12,with all
2244,12,follow
2245,12,httpstcokwolibaw
2247,12,good morning
2248,12,heart
2250,12,paul ryan
2251,12,httpt
2252,12,i wont
2253,12,run for president
2254,12,night on
2255,11,met
2257,11,debatenight
2259,11,ridiculous
2260,11,jobs back
2261,11,barbara
2262,11,very weak
2263,11,the other candidates
2264,11,now he
2265,11,carly
2266,11,trump realdonaldtrump
2267,11,facethenation
2268,11,word is
2269,11,politicians are
2270,11,love the
2271,11,for his
2272,11,it and
2273,11,the middle
2274,11,birthday to
2275,11,the endorsement
2276,11,wrote
2277,11,muslims
2278,11,stupid
2279,11,your vote
2280,11,tomorrow in
2282,11,be allowed
2283,11,is a joke
2284,11,hates
2285,11,the just
2286,11,its not
2287,11,realdonaldtrump trump is
2288,11,copy of
2289,11,that trump
2290,11,great night
2291,11,but the
2292,11,jebs
2293,11,to give
2294,11,dying
2295,11,campaign is
2296,11,had to
2297,11,rock
2298,11,of their
2299,11,drop out
2301,11,just landed
2302,11,coming to
2303,11,and people
2304,11,we had
2305,11,he wants
2306,11,the rest
2307,11,was right
2308,11,the right
2309,11,this time
2310,11,on immigration
2311,11,a fantastic
2312,11,and am
2313,11,i get
2314,11,that we
2315,11,borntobegop realdonaldtrump
2316,11,leaving for
2317,11,what a great
2318,11,all americans
2319,11,reuters poll
2320,11,on saturday
2321,11,wikileaks
2322,11,it again
2323,11,in wisconsin
2324,11,missed
2325,11,make a
2326,11,in favor
2327,11,more years
2328,11,and your
2329,11,your nice words
2330,11,me at
2331,11,i see
2332,11,private
2333,11,in texas
2334,11,at a
2335,11,will vote
2336,11,realdonaldtrump you are
2338,11,bigleaguetruth debates
2339,11,service
2340,11,fix it
2341,11,of the race
2342,11,know that
2343,11,the money
2344,11,cut
2345,11,gma
2346,11,based
2347,11,is the most
2348,11,star
2350,11,force
2351,11,opponents
2352,11,very proud of
2353,11,double
2356,11,having a
2357,11,was an
2358,11,the good
2359,11,everyone else
2360,11,syrian
2361,11,in politics
2362,11,to new
2363,11,now in
2364,11,you for all
2365,11,it up
2366,11,of the people
2367,11,landed
2368,11,you new hampshire
2369,11,karl
2370,11,for us
2371,11,do the
2372,11,amp great
2373,11,i look
2374,11,congrats
2375,11,sold
2376,11,maga tickets
2377,11,wayne
2378,11,the fact that
2379,11,join me live
2380,11,crowd of
2381,11,but they
2382,11,lindsey graham
2383,11,waiting
2384,11,it for
2385,11,for hillary
2386,11,planned
2387,11,is all
2388,11,work for
2389,11,they dont
2390,11,idea
2391,11,paris
2392,11,law enforcement officers
2393,11,has me
2394,11,night thank you
2395,11,on your
2396,11,native
2397,11,i cant wait
2398,11,is really
2399,11,it out
2400,11,me live
2401,11,legendary
2402,11,brilliant
2403,11,weekend
2404,11,great crowd
2405,11,a wonderful
2406,11,people that
2407,11,realdonaldtrump thank you
2408,11,enjoy i will
2409,11,in nh
2410,11,how many
2411,11,a trump
2412,11,in trump
2413,11,realdonaldtrump mr
2414,11,professional
2415,11,realdonaldtrump to
2416,11,response to
2417,11,about trump
2418,11,night thank
2419,11,primaries
2420,11,been a
2421,11,favor of
2422,11,is trying
2423,11,will beat
2425,11,criminal
2426,11,trump will be
2427,11,first place
2428,11,marco rubio is
2429,11,trail
2430,11,support trump
2431,11,explain
2432,11,to save
2433,11,on realdonaldtrump
2434,11,live on
2435,11,america is
2436,11,the ratings
2437,11,of money
2438,11,good for
2439,11,marklevinshow
2440,11,even though
2441,11,dnc
2442,11,with chris
2443,11,scandal
2444,11,with me
2445,11,newday
2446,11,citizen
2447,11,what the
2448,11,rigged system
2449,11,trump you
2450,11,donald trumps
2451,11,have done
2452,11,hour
2453,11,the debate last
2454,11,speech on
2456,11,reported
2457,11,haters
2458,11,her husband
2459,11,see the
2460,11,when you
2461,11,be on foxandfriends
2462,11,education
2463,11,guns
2464,11,bosses
2465,11,administration
2466,11,and he
2467,11,all time
2468,11,clewandowski
2470,11,story on
2471,11,hits
2473,11,people will be
2474,11,in sc
2475,11,much to talk
2476,11,in favor of
2478,11,of me
2479,11,realdonaldtrump oreillyfactor
2480,11,cnn realdonaldtrump
2481,11,saying i
2482,11,a clue
2483,11,for her
2484,11,and that
2485,11,corruption
2487,11,disgrace
2488,11,country needs
2489,11,will be there
2490,11,could not
2491,11,my supporters
2492,11,utah
2493,11,ineffective
2494,11,on meetthepress
2495,11,senator marco
2496,11,on november
2497,11,this election
2498,11,who have
2499,11,in your
2500,11,oklahoma
2501,11,congress
2502,11,play
2503,11,are in
2504,11,should not be
2505,11,where we
2506,11,what we
